,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,Genre,budget,grossUSA,realgrossUSA
29,Alpha (2018),6.9,63,81,74,Drama,"Budget:$51,000,000 (estimated)","Opening Weekend USA: $10,352,512, 19 August 2018, Wide Release","Gross USA: $35,759,226, 28 October 2018"
30,Ant-Man and the Wasp (2018),7.2,70,88,79,Action & Adventure,"Budget:$162,000,000 (estimated)","Opening Weekend USA: $75,812,205, 8 July 2018, Wide Release","Gross USA: $216,640,060, 28 October 2018"
31,Fahrenheit 11/9 (2018),5.6,68,80,57,Documentary,"Opening Weekend USA: $3,008,563, 23 September 2018, Wide Release","Gross USA: $6,319,606, 28 October 2018","Production Co: Dog Eat Dog Films,Midwestern Films,State Run Films See more »"
32,Slender Man (2018),3.1,30,8,20,Horror,"Budget:$10,000,000 (estimated)","Opening Weekend USA: $11,371,866, 12 August 2018, Wide Release","Gross USA: $30,564,825, 28 October 2018"
33,White Boy Rick (2018),6.5,59,59,55,Horror,"Opening Weekend USA: $8,860,431, 16 September 2018, Wide Release","Gross USA: $23,977,154, 28 October 2018","Production Co: LBI Productions,Protozoa Pictures,Studio 8 See more »"
34,Studio 54 (2018),6.9,70,90,82,Documentary,"Opening Weekend USA: $14,909, 7 October 2018, Limited Release","Gross USA: $129,074, 28 October 2018","Production Co: Altimeter Films,Passion Pictures See more »"
35,Mandy (2018),6.7,81,92,70,Mystery & Suspense,"Budget:$6,000,000 (estimated)","Gross USA: $1,170,185, 21 October 2018","Production Co: SpectreVision,Umedia,Legion M See more »"
36,What They Had (2018),5.9,70,87,100,Drama,"Opening Weekend USA: $17,683, 21 October 2018, Limited Release","Gross USA: $85,565, 28 October 2018","Production Co: Unified Pictures,Bona Fide Productions,Look to the Sky Films See more »"
37,Unbroken: Path to Redemption (2018),5.8,38,39,86,Drama,"Gross USA: $6,197,181, 28 October 2018","Production Co: Universal 1440 Entertainment,Matt Baer Films See more »",Show more on IMDbPro »
38,Monsters and Men (2018),5.8,67,83,86,Drama,"Production Co: The Department of Motion Pictures,Sight Unseen Pictures,AgX See more »",Show more on IMDbPro »,Runtime: 96 min
39,1945 (2017),7.3,75,97,83,Art House & International,"Budget:€1,467,000 (estimated)","Opening Weekend USA: $14,412, 5 November 2017, Limited Release","Gross USA: $981,778, 28 October 2018"
40,Wings of Desire (1987),8.1,79,33,82,Art House & International,"Gross USA: $3,210,139","Production Co: Road Movies Filmproduktion,Argos Films,Westdeutscher Rundfunk (WDR) See more »",Show more on IMDbPro »
41,Searching (2018),7.8,71,98,94,Art House & International,"Gross USA: $25,957,083, 28 October 2018","Production Co: Screen Gems,Stage 6 Films,Bazelevs Production See more »",Show more on IMDbPro »
42,"Love, Gilda (2018)",7,74,93,89,Mystery & Suspense,"Gross USA: $612,478, 28 October 2018","Production Co: 3 Faces Films,Motto Pictures See more »",Show more on IMDbPro »
43,Matangi/Maya/M.I.A. (2018),7.7,68,88,86,Mystery & Suspense,"Gross USA: $196,382, 28 October 2018","Production Co: Cinereach,Hard Working Movies,Doc Society See more »",Show more on IMDbPro »
44,"Juliet, Naked (2018)",6.9,67,87,94,Mystery & Suspense,"Opening Weekend USA: $60,886, 19 August 2018, Limited Release","Gross USA: $3,444,895, 25 October 2018","Production Co: Los Angeles Media Fund (LAMF),Rocket Science,Bona Fide Productions See more »"
45,Mad Max: Fury Road (2015),8.1,90,83,88,Comedy,"Production Co: Warner Bros. Pictures,Village Roadshow Pictures,Village Roadshow Pictures See more »",Show more on IMDbPro »,Runtime: 120 min
46,Wonder Woman (2017),7.5,76,100,91,Documentary,"Budget:$149,000,000 (estimated)","Opening Weekend USA: $103,251,471, 4 June 2017, Wide Release","Gross USA: $412,563,408"
47,Logan (2017),8.1,77,97,85,Action & Adventure,"Budget:$97,000,000 (estimated)","Opening Weekend USA: $88,411,916, 5 March 2017, Wide Release","Gross USA: $226,277,068"
48,Star Wars: The Force Awakens (2015),8,81,93,88,Drama,"Budget:$245,000,000 (estimated)","Opening Weekend USA: $247,966,675, 20 December 2015, Wide Release","Gross USA: $936,662,225"
49,Baby Driver (2017),7.6,86,93,90,Drama,"Budget:$34,000,000 (estimated)","Opening Weekend USA: $20,553,320, 2 July 2017, Wide Release","Gross USA: $107,825,862"
50,Zootopia (2016),8,78,93,87,Action & Adventure,"Budget:$150,000,000 (estimated)","Opening Weekend USA: $75,063,401, 6 March 2016, Wide Release","Gross USA: $341,268,248"
51,Seven Samurai (1954),8.7,98,93,86,Action & Adventure,"Opening Weekend USA: $21,830, 1 September 2002, Limited Release","Gross USA: $269,061, 31 August 2003",Production Co: Toho Company See more »
52,Up (2009),8.3,88,97,92,Action & Adventure,"Budget:$175,000,000 (estimated)","Opening Weekend USA: $68,108,790, 29 May 2009, Wide Release","Gross USA: $293,004,164, 5 November 2009"
53,Lawrence of Arabia (1962),8.3,100,100,97,Action & Adventure,"Budget:$15,000,000 (estimated)","Opening Weekend USA: $20,846, 22 September 2002, Limited Release","Gross USA: $44,824,144"
54,War for the Planet of the Apes (2017),7.5,82,98,90,Action & Adventure,"Budget:$150,000,000 (estimated)","Opening Weekend USA: $56,262,929, 16 July 2017, Wide Release","Gross USA: $146,880,162"
55,Spider-Man: Homecoming (2017),7.5,73,95,86,Action & Adventure,"Budget:$175,000,000 (estimated)","Opening Weekend USA: $117,027,503, 9 July 2017, Wide Release","Gross USA: $334,201,140, 30 November 2017"
56,Captain America: Civil War (2016),7.8,75,98,93,Drama,"Budget:$250,000,000 (estimated)","Opening Weekend USA: $179,139,142, 8 May 2016, Wide Release","Gross USA: $408,084,349"
57,Moana (2016),7.6,81,93,84,Drama,"Budget:$150,000,000 (estimated)","Opening Weekend USA: $56,631,401, 27 November 2016, Wide Release","Gross USA: $248,757,044"
58,Aliens (1986),8.4,84,92,88,Drama,"Budget:$18,500,000 (estimated)","Opening Weekend USA: $10,052,042, 20 July 1986, Wide Release","Gross USA: $85,160,248"
59,The Lego Movie (2014),7.8,83,91,89,Action & Adventure,"Budget:$60,000,000 (estimated)","Opening Weekend USA: $69,050,279, 9 February 2014, Wide Release","Gross USA: $257,760,692"
60,WALL·E (2008),8.4,95,96,89,Action & Adventure,"Budget:$180,000,000 (estimated)","Opening Weekend USA: $63,087,526, 29 June 2008, Wide Release","Gross USA: $223,808,164, 8 January 2009"
61,Star Wars: Episode IV - A New Hope (1977),8.6,90,99,94,Action & Adventure,"Budget:$11,000,000 (estimated)","Opening Weekend USA: $1,554,475, 30 May 1977, Limited Release","Gross USA: $322,740,140"
62,Kubo and the Two Strings (2016),7.8,84,96,87,Action & Adventure,"Opening Weekend USA: $12,608,372, 19 August 2016, Wide Release","Gross USA: $48,023,088","Cumulative Worldwide Gross: $76,257,813"
63,Mission: Impossible - Rogue Nation (2015),7.4,75,96,89,Action & Adventure,"Budget:$150,000,000 (estimated)","Opening Weekend USA: $55,520,089, 2 August 2015, Wide Release","Gross USA: $195,042,377"
64,The African Queen (1951),7.9,91,93,96,Drama,"Gross USA: $536,118, 24 December 1967","Cumulative Worldwide Gross: $10,750,000, 10 April 1990","Production Co: Romulus Films,Horizon Pictures See more »"
65,The Avengers (2012),8.1,69,97,86,Action & Adventure,"Budget:$220,000,000 (estimated)","Opening Weekend USA: $207,438,708, 6 May 2012, Wide Release","Gross USA: $623,357,910"
66,Star Wars: Episode V - The Empire Strikes Back (1980),8.8,82,93,87,Action & Adventure,"Budget:$18,000,000 (estimated)","Opening Weekend USA: $6,415,804, 21 May 1980, Limited Release","Gross USA: $290,475,067, 31 December 1997"
67,The French Connection (1971),7.8,96,98,86,Action & Adventure,"Gross USA: $51,700,000, 31 December 1973","Production Co: Philip D'Antoni Productions,Schine-Moore Productions,D'Antoni Productions See more »",Show more on IMDbPro »
68,Hunt for the Wilderpeople (2016),7.9,81,92,91,Action & Adventure,"Opening Weekend: NZD 1,263,035 (New Zealand), 3 April 2016, Limited Release","Opening Weekend USA: $77,298, 26 June 2016, Limited Release","Gross USA: $5,202,582, 30 October 2016"
69,Iron Man (2008),7.9,79,95,97,Drama,"Budget:$140,000,000 (estimated)","Opening Weekend USA: $98,618,668, 2 May 2008, Wide Release","Gross USA: $318,412,101, 2 October 2008"
70,All Is Lost (2013),6.9,87,98,87,Drama,"Budget:$9,000,000 (estimated)","Opening Weekend USA: $93,583, 18 October 2013, Limited Release","Gross USA: $6,263,670"
71,Assault on Precinct 13 (1976),7.4,89,97,91,Action & Adventure,Production Co: CKK See more »,Show more on IMDbPro »,Runtime: 91 min
72,No Country for Old Men (2007),8.1,91,93,91,Action & Adventure,"Budget:$25,000,000 (estimated)","Opening Weekend USA: $1,226,333, 2 November 2007, Limited Release","Gross USA: $74,283,625"
73,The Lord of the Rings: The Two Towers (2002),8.7,87,94,63,Mystery & Suspense,"Budget:$94,000,000 (estimated)","Opening Weekend USA: $62,007,528, 22 December 2002, Wide Release","Gross USA: $342,551,365, 21 June 2011"
74,Looper (2012),7.4,84,98,80,Drama,"Budget:$30,000,000 (estimated)","Opening Weekend USA: $20,801,552, 30 September 2012, Wide Release","Gross USA: $66,486,205"
75,The Right Stuff (1983),7.9,91,93,86,Drama,"Opening Weekend USA: $1,601,167, 23 October 1983, Limited Release","Gross USA: $21,500,000",Production Co: The Ladd Company See more »
76,The Fugitive (1993),7.8,87,95,95,Drama,"Budget:$44,000,000 (estimated)","Opening Weekend USA: $23,758,855, 6 August 1993, Wide Release","Gross USA: $183,875,760"
77,"Crouching Tiger, Hidden Dragon (2000)",7.9,93,93,82,Action & Adventure,"Opening Weekend: HKD 7,714,001 (Hong Kong), 20 July 2000, Limited Release","Opening Weekend USA: $663,205, 10 December 2000, Limited Release","Gross USA: $128,078,872"
78,Who Framed Roger Rabbit (1988),7.7,83,98,90,Action & Adventure,"Gross USA: $156,452,370","Cumulative Worldwide Gross: $349,200,000","Production Co: Touchstone Pictures,Amblin Entertainment,Silver Screen Partners III See more »"
79,One False Move (1992),7.2,87,96,89,Drama,Production Co: IRS Media See more »,Show more on IMDbPro »,Runtime: 105 min
80,Catch Me If You Can (2002),8.1,75,97,86,Drama,"Budget:$52,000,000 (estimated)","Opening Weekend USA: $30,082,000, 29 December 2002, Wide Release","Gross USA: $164,615,351"
81,Sicario (2015),7.6,82,97,84,Action & Adventure,"Budget:$30,000,000 (estimated)","Opening Weekend USA: $401,288, 18 September 2015, Limited Release","Gross USA: $46,889,293"
82,In the Line of Fire (1993),7.2,74,98,85,Action & Adventure,"Gross USA: $102,314,283","Cumulative Worldwide Gross: $85,000,000","Production Co: Columbia Pictures Corporation,Castle Rock Entertainment See more »"
83,Dr. No (1962),7.3,78,98,86,Drama,"Gross USA: $16,067,035","Cumulative Worldwide Gross: $59,600,000",Production Co: Eon Productions See more »
84,Raiders of the Lost Ark (1981),8.5,85,98,75,Drama,"Budget:$18,000,000 (estimated)","Opening Weekend USA: $8,305,823, 14 June 1981, Wide Release","Gross USA: $248,159,971"
85,X-Men: Days of Future Past (2014),8,75,96,89,Drama,"Budget:$200,000,000 (estimated)","Opening Weekend USA: $90,823,660, 25 May 2014, Wide Release","Gross USA: $233,921,534, 28 February 2015"
86,From Russia with Love (1963),7.5,85,92,85,Drama,"Gross USA: $24,796,765","Cumulative Worldwide Gross: $54,100,000",Production Co: Eon Productions See more »
87,Apollo 13 (1995),7.6,77,96,79,Mystery & Suspense,"Opening Weekend USA: $200,645, 22 September 2002, Limited Release","Gross USA: $173,837,933","Cumulative Worldwide Gross: $355,237,933"
88,Superman (1978),7.3,80,96,82,Action & Adventure,"Budget:$55,000,000 (estimated)","Opening Weekend USA: $7,465,343, 17 December 1978, Limited Release","Gross USA: $134,218,018"
89,Embrace of the Serpent (2015),7.9,82,95,96,Action & Adventure,"Budget:$1,400,000 (estimated)","Opening Weekend USA: $50,955, 21 February 2016, Limited Release","Gross USA: $1,329,249"
90,The Lord of the Rings: The Return of the King (2003),8.9,94,89,91,Action & Adventure,"Budget:$94,000,000 (estimated)","Opening Weekend USA: $72,629,713, 19 December 2003, Wide Release","Gross USA: $377,845,905, 28 June 2011"
91,Close Encounters of the Third Kind (1977),7.7,90,96,83,Action & Adventure,"Budget:$20,000,000 (estimated)","Gross USA: $132,088,635","Cumulative Worldwide Gross: $303,788,635"
92,The Curse of the Were-Rabbit (2005),7.5,87,95,87,Drama,"Opening Weekend: $4,005,875 (United Kingdom), 7 October 2005","Opening Weekend USA: $16,025,987, 9 October 2005, Wide Release","Gross USA: $56,110,897"
93,The Bourne Ultimatum (2007),8,85,94,86,Drama,"Budget:$110,000,000 (estimated)","Opening Weekend USA: $69,283,690, 5 August 2007, Wide Release","Gross USA: $227,471,070, 29 November 2007"
94,Spider-Man 2 (2004),7.3,83,96,84,Art House & International,"Budget:$200,000,000 (estimated)","Opening Weekend USA: $115,817,364, 4 July 2004, Wide Release","Gross USA: $373,585,825, 19 December 2004"
95,Hero (2002),7.9,85,93,86,Action & Adventure,"Budget:$31,000,000 (estimated)","Opening Weekend: $687,653 (Hong Kong), 27 December 2002, Limited Release","Opening Weekend USA: $18,004,319, 29 August 2004, Wide Release"
96,Enter the Dragon (1973),7.7,83,95,85,Action & Adventure,"Gross USA: $25,000,000","Cumulative Worldwide Gross: $90,000,000","Production Co: Warner Bros.,Concord Productions See more »"
97,Drive (2011),7.8,78,95,79,Action & Adventure,"Budget:$15,000,000 (estimated)","Opening Weekend USA: $11,340,461, 18 September 2011, Wide Release","Gross USA: $35,060,689, 9 February 2012"
98,Inside Out (2015),8.2,94,98,92,Drama,"Budget:$175,000,000 (estimated)","Opening Weekend USA: $90,440,272, 21 June 2015, Wide Release","Gross USA: $356,461,711"
99,Snow White and the Seven Dwarfs (1937),7.6,95,92,91,Drama,"Opening Weekend USA: $6,017,914, 15 July 1983, Limited Release","Gross USA: $184,925,485","Cumulative Worldwide Gross: $418,200,000"
100,Toy Story 3 (2010),8.3,92,94,91,Western,"Budget:$200,000,000 (estimated)","Opening Weekend USA: $110,307,189, 20 June 2010, Wide Release","Gross USA: $415,004,880, 28 May 2012"
101,Toy Story 2 (1999),7.9,88,93,93,Drama,"Budget:$90,000,000 (estimated)","Opening Weekend USA: $57,388,839, 28 November 1999, Wide Release","Gross USA: $245,852,179, 20 July 2000"
102,Finding Nemo (2003),8.1,90,93,82,Action & Adventure,"Budget:$94,000,000 (estimated)","Opening Weekend USA: $70,251,710, 1 June 2003, Wide Release","Gross USA: $380,843,261"
103,Pinocchio (1940),7.5,99,95,87,Drama,"Opening Weekend USA: $3,769,251, 21 December 1984, Limited Release","Gross USA: $84,254,167",Production Co: Walt Disney Productions See more »
104,Finding Dory (2016),7.3,77,96,92,Drama,"Budget:$200,000,000 (estimated)","Opening Weekend USA: $135,060,273, 20 June 2016, Wide Release","Gross USA: $486,295,561"
105,Toy Story (1995),8.3,95,92,79,Drama,"Budget:$30,000,000 (estimated)","Opening Weekend USA: $29,140,617, 26 November 1995","Gross USA: $191,796,233"
106,Shaun the Sheep Movie (2015),7.4,81,98,89,Animation,"Opening Weekend USA: $4,038,962, 9 August 2015, Wide Release","Gross USA: $19,375,982","Cumulative Worldwide Gross: $106,031,284"
107,Ratatouille (2007),8,96,98,78,Animation,"Budget:$150,000,000 (estimated)","Opening Weekend USA: $47,027,395, 1 July 2007, Wide Release","Gross USA: $206,445,654"
108,Only Yesterday (1991),7.7,90,99,89,Animation,"Gross USA: $453,243","Cumulative Worldwide Gross: $14,407,939","Production Co: Nippon Television Network (NTV),Studio Ghibli,Studiopolis See more »"
109,How to Train Your Dragon (2010),8.1,74,100,86,Animation,"Opening Weekend USA: $43,732,319, 28 March 2010, Wide Release","Gross USA: $217,581,231, 22 July 2010","Cumulative Worldwide Gross: $494,878,759, 22 July 2010"
110,The Incredibles (2004),8,90,98,90,Action & Adventure,"Budget:$92,000,000 (estimated)","Opening Weekend USA: $70,467,623, 7 November 2004, Wide Release","Gross USA: $261,441,092, 14 April 2005"
111,Yellow Submarine (1968),7.4,78,99,86,Animation,"Opening Weekend USA: $107,105, 8 July 2018, Limited Release","Gross USA: $992,305, 30 September 2018","Production Co: Apple Corps,King Features Production,TVC London See more »"
112,Chicken Run (2000),7,88,100,72,Animation,"Opening Weekend USA: $17,506,162, 25 June 2000, Wide Release","Gross USA: $106,834,564","Cumulative Worldwide Gross: $224,834,564"
113,Beauty and the Beast (2017),7.2,65,94,84,Animation,"Budget:$160,000,000 (estimated)","Opening Weekend USA: $174,750,616, 19 March 2017, Wide Release","Gross USA: $504,014,165"
114,My Life as a Zucchini (2016),7.8,85,100,92,Animation,"Budget:€6,500,000 (estimated)","Opening Weekend USA: $28,472, 26 February 2017, Limited Release","Gross USA: $292,279, 7 April 2017"
115,101 Dalmatians (1996),5.7,49,99,80,Comedy,"Budget:$75,000,000 (estimated)","Opening Weekend USA: $45,073,479, 1 December 1996, Wide Release","Gross USA: $136,189,294"
116,The Nightmare Before Christmas (1993),8,82,96,87,Animation,"Budget:$18,000,000 (estimated)","Opening Weekend USA: $191,232, 17 October 1993, Limited Release","Gross USA: $75,082,668"
117,"Monsters, Inc. (2001)",8.1,78,100,86,Drama,"Budget:$115,000,000 (estimated)","Opening Weekend USA: $62,577,067, 4 November 2001, Wide Release","Gross USA: $289,916,256"
118,The Lego Batman Movie (2017),7.3,75,98,91,Animation,"Budget:$80,000,000 (estimated)","Opening Weekend USA: $53,003,468, 12 February 2017, Wide Release","Gross USA: $175,750,384"
119,The Iron Giant (1999),8,85,97,75,Animation,"Opening Weekend USA: $5,732,614, 8 August 1999, Wide Release","Gross USA: $23,159,305, 21 November 1999","Cumulative Worldwide Gross: $80,000,000"
120,Song of the Sea (2014),8.1,85,97,84,Action & Adventure,"Budget:€5,300,000 (estimated)","Opening Weekend USA: $21,910, 19 December 2014, Limited Release","Gross USA: $857,524"
121,Tower (2016),8,92,97,64,Drama,"Production Co: Go-Valley,Killer Impact,Meredith Vieira Productions See more »",Show more on IMDbPro »,Runtime: 82 min
122,The Lion King (1994),8.5,83,94,92,Animation,"Budget:$45,000,000 (estimated)","Opening Weekend USA: $1,825,849, 15 June 1994, Limited Release","Gross USA: $312,900,000"
123,Anomalisa (2015),7.3,88,98,87,Animation,"Opening Weekend USA: $135,222, 3 January 2016, Limited Release","Gross USA: $3,759,286","Cumulative Worldwide Gross: $5,659,286"
124,Your Name. (2016),8.4,79,98,75,Animation,"Opening Weekend USA: $1,637,509, 7 April 2017, Limited Release","Gross USA: $5,017,246","Cumulative Worldwide Gross: $357,986,087"
125,Waltz with Bashir (2008),8,91,95,91,Animation,"Opening Weekend USA: $69,055, 28 December 2008, Limited Release","Gross USA: $2,283,276, 10 May 2009","Production Co: Bridgit Folman Film Gang,Les Films d'Ici,Razor Film Produktion GmbH See more »"
126,Persepolis (2007),8.1,90,96,83,Animation,"Opening Weekend: €1,402,949 (France), 1 July 2007, Limited Release","Opening Weekend USA: $37,118, 23 December 2007, Limited Release","Gross USA: $4,443,403, 18 May 2008"
127,The Red Turtle (2016),7.5,86,96,90,Animation,"Gross USA: $920,057, 19 May 2017","Cumulative Worldwide Gross: $787,712, 19 March 2017","Production Co: Prima Linea Productions,Why Not Productions,Wild Bunch See more »"
128,The Secret World of Arrietty (2010),7.6,80,90,80,Action & Adventure,"Opening Weekend: JPY 884,725,940 (Japan), 18 July 2010, Limited Release","Opening Weekend USA: $6,446,395, 19 February 2012, Wide Release","Gross USA: $19,202,743"
129,Aladdin (1992),8,86,96,90,Animation,"Budget:$28,000,000 (estimated)","Opening Weekend USA: $196,664, 15 November 1992, Limited Release","Gross USA: $217,350,219"
130,Ernest & Celestine (2012),7.9,86,99,92,Animation,"Opening Weekend USA: $13,078, 28 February 2014, Limited Release","Gross USA: $292,562","Cumulative Worldwide Gross: $9,376,444"
131,Fantastic Mr. Fox (2009),7.8,83,99,89,Animation,"Budget:$40,000,000 (estimated)","Opening Weekend USA: $265,900, 15 November 2009, Limited Release","Gross USA: $21,002,919, 8 April 2010"
132,Antz (1998),6.6,72,97,84,Animation,"Gross USA: $90,757,863","Cumulative Worldwide Gross: $171,757,863","Production Co: DreamWorks,Pacific Data Images (PDI),DreamWorks Animation See more »"
133,Frozen (2013),7.5,74,93,93,Drama,"Opening Weekend USA: $243,390, 24 November 2013, Limited Release","Gross USA: $400,738,009","Cumulative Worldwide Gross: $1,276,480,335"
134,Ghost in the Shell (2017),6.4,52,92,70,Drama,"Budget:$110,000,000 (estimated)","Opening Weekend USA: $18,676,033, 31 March 2017, Wide Release","Gross USA: $40,533,014, 19 May 2017"
135,Coraline (2009),7.7,80,97,94,Drama,"Budget:$60,000,000 (estimated)","Opening Weekend USA: $16,849,646, 8 February 2009, Wide Release","Gross USA: $75,286,229"
136,How to Train Your Dragon 2 (2014),7.8,76,96,90,Documentary,"Opening Weekend USA: $49,451,322, 15 June 2014, Wide Release","Gross USA: $177,002,924","Cumulative Worldwide Gross: $621,537,519"
137,Big Hero 6 (2014),7.8,74,96,92,Drama,"Opening Weekend USA: $56,215,889, 10 November 2014, Wide Release","Gross USA: $222,527,828","Cumulative Worldwide Gross: $657,827,828"
138,A Bug's Life (1998),7.2,77,94,80,Action & Adventure,"Budget:$120,000,000 (estimated)","Opening Weekend USA: $291,121, 22 November 1998, Limited Release","Gross USA: $162,798,565"
139,Arthur Christmas (2011),7.1,69,95,85,Animation,"Opening Weekend: £2,112,516 (United Kingdom), 13 November 2011, Limited Release","Opening Weekend USA: $12,068,931, 18 November 2011, Wide Release","Gross USA: $46,462,469"
